year,bat_first,bat_second,result,innings,over,bat_first_wp,bat_second_wp
2016,SRH,RCB,SRH won by 8 runs,2,11,42.87,57.13
2016,SRH,RCB,SRH won by 8 runs,2,12,40.25,59.75
2016,SRH,RCB,SRH won by 8 runs,2,13,40.96,59.04
2016,SRH,RCB,SRH won by 8 runs,2,14,53.23,46.77
2016,SRH,RCB,SRH won by 8 runs,2,15,46.83,53.17
2016,SRH,RCB,SRH won by 8 runs,2,16,72.95,27.05
2016,SRH,RCB,SRH won by 8 runs,2,17,79.08,20.92
2016,SRH,RCB,SRH won by 8 runs,2,18,90.74,9.26
2016,SRH,RCB,SRH won by 8 runs,2,19,84.77,15.23
2016,SRH,RCB,SRH won by 8 runs,2,20,100,0
2017,MI,RPS,MI won by 1 run,1,1,44.1,55.9
2017,MI,RPS,MI won by 1 run,1,2,39.78,60.22
2017,MI,RPS,MI won by 1 run,1,3,34.62,65.38
2017,MI,RPS,MI won by 1 run,1,4,28,72
2017,MI,RPS,MI won by 1 run,1,5,24.6,75.4
2017,MI,RPS,MI won by 1 run,1,6,37.68,62.32
2017,MI,RPS,MI won by 1 run,1,7,41.93,58.07
2017,MI,RPS,MI won by 1 run,1,8,40.85,59.15
2017,MI,RPS,MI won by 1 run,1,9,34.62,65.38
2017,MI,RPS,MI won by 1 run,1,10,31.69,68.31
2017,MI,RPS,MI won by 1 run,1,11,18.04,81.96
2017,MI,RPS,MI won by 1 run,1,12,15.61,84.39
2017,MI,RPS,MI won by 1 run,1,13,20.06,79.94
2017,MI,RPS,MI won by 1 run,1,14,12.97,87.03
2017,MI,RPS,MI won by 1 run,1,15,8.17,91.83
2017,MI,RPS,MI won by 1 run,1,16,10.73,89.27
2017,MI,RPS,MI won by 1 run,1,17,12.03,87.97
2017,MI,RPS,MI won by 1 run,1,18,14.51,85.49
2017,MI,RPS,MI won by 1 run,1,19,15.61,84.39
2017,MI,RPS,MI won by 1 run,1,20,18.69,81.31
2017,MI,RPS,MI won by 1 run,2,1,18.64,81.36
2017,MI,RPS,MI won by 1 run,2,2,16.93,83.07
2017,MI,RPS,MI won by 1 run,2,3,17.51,82.49
2017,MI,RPS,MI won by 1 run,2,4,21.09,78.91
2017,MI,RPS,MI won by 1 run,2,5,17.07,82.93
2017,MI,RPS,MI won by 1 run,2,6,15.71,84.29
2017,MI,RPS,MI won by 1 run,2,7,16.02,83.98
2017,MI,RPS,MI won by 1 run,2,8,15.48,84.52
2017,MI,RPS,MI won by 1 run,2,9,19.77,80.23
2017,MI,RPS,MI won by 1 run,2,10,15.77,84.23
2017,MI,RPS,MI won by 1 run,2,11,13.69,86.31
2017,MI,RPS,MI won by 1 run,2,12,14.29,85.71
2017,MI,RPS,MI won by 1 run,2,13,22.12,77.88
2017,MI,RPS,MI won by 1 run,2,14,32.75,67.25
2017,MI,RPS,MI won by 1 run,2,15,39.8,60.2
2017,MI,RPS,MI won by 1 run,2,16,15.42,84.58
2017,MI,RPS,MI won by 1 run,2,17,34.56,65.44
2017,MI,RPS,MI won by 1 run,2,18,47.67,52.33
2017,MI,RPS,MI won by 1 run,2,19,18.41,81.59
2017,MI,RPS,MI won by 1 run,2,20,100,0
2018,SRH,CSK,CSK won by 8 wickets,1,1,50.32,49.68
2018,SRH,CSK,CSK won by 8 wickets,1,2,52.58,47.42
2018,SRH,CSK,CSK won by 8 wickets,1,3,45.81,54.19
2018,SRH,CSK,CSK won by 8 wickets,1,4,34.91,65.09
2018,SRH,CSK,CSK won by 8 wickets,1,5,44.68,55.32
2018,SRH,CSK,CSK won by 8 wickets,1,6,52.58,47.42
2018,SRH,CSK,CSK won by 8 wickets,1,7,54.82,45.18
2018,SRH,CSK,CSK won by 8 wickets,1,8,58.14,41.86
2018,SRH,CSK,CSK won by 8 wickets,1,9,59.23,40.77
2018,SRH,CSK,CSK won by 8 wickets,1,10,52.58,47.42
2018,SRH,CSK,CSK won by 8 wickets,1,11,66.52,33.48
2018,SRH,CSK,CSK won by 8 wickets,1,12,70.37,29.63
2018,SRH,CSK,CSK won by 8 wickets,1,13,69.43,30.57
2018,SRH,CSK,CSK won by 8 wickets,1,14,69.43,30.57
2018,SRH,CSK,CSK won by 8 wickets,1,15,70.37,29.63
2018,SRH,CSK,CSK won by 8 wickets,1,16,68.48,31.52
2018,SRH,CSK,CSK won by 8 wickets,1,17,71.28,28.72
2018,SRH,CSK,CSK won by 8 wickets,1,18,73.93,26.07
2018,SRH,CSK,CSK won by 8 wickets,1,19,72.18,27.82
2018,SRH,CSK,CSK won by 8 wickets,1,20,63.43,36.57
2018,SRH,CSK,CSK won by 8 wickets,2,1,75.72,24.28
2018,SRH,CSK,CSK won by 8 wickets,2,2,77.82,22.18
2018,SRH,CSK,CSK won by 8 wickets,2,3,79.84,20.16
2018,SRH,CSK,CSK won by 8 wickets,2,4,85.92,14.08
2018,SRH,CSK,CSK won by 8 wickets,2,5,89.23,10.77
2018,SRH,CSK,CSK won by 8 wickets,2,6,83.16,16.84
2018,SRH,CSK,CSK won by 8 wickets,2,7,73.44,26.56
2018,SRH,CSK,CSK won by 8 wickets,2,8,75.2,24.8
2018,SRH,CSK,CSK won by 8 wickets,2,9,62.89,37.11
2018,SRH,CSK,CSK won by 8 wickets,2,10,61.32,38.68
2018,SRH,CSK,CSK won by 8 wickets,2,11,44.53,55.47
2018,SRH,CSK,CSK won by 8 wickets,2,12,37.61,62.39
2018,SRH,CSK,CSK won by 8 wickets,2,13,4.54,95.46
2018,SRH,CSK,CSK won by 8 wickets,2,14,2.04,97.96
2018,SRH,CSK,CSK won by 8 wickets,2,15,4.48,95.52
2018,SRH,CSK,CSK won by 8 wickets,2,16,3.14,96.86
2018,SRH,CSK,CSK won by 8 wickets,2,17,0.69,99.31
2018,SRH,CSK,CSK won by 8 wickets,2,18,0.12,99.88
2018,SRH,CSK,CSK won by 8 wickets,2,19,0,100
2019,MI,CSK,MI won by 1 run,1,1,43.74,56.26
2019,MI,CSK,MI won by 1 run,1,2,42.64,57.36
2019,MI,CSK,MI won by 1 run,1,3,62.34,37.66
2019,MI,CSK,MI won by 1 run,1,4,60.25,39.75
2019,MI,CSK,MI won by 1 run,1,5,58.11,41.89
2019,MI,CSK,MI won by 1 run,1,6,47.06,52.94
2019,MI,CSK,MI won by 1 run,1,7,42.64,57.36
2019,MI,CSK,MI won by 1 run,1,8,36.23,63.77
2019,MI,CSK,MI won by 1 run,1,9,34.19,65.81
2019,MI,CSK,MI won by 1 run,1,10,40.47,59.53
2019,MI,CSK,MI won by 1 run,1,11,43.74,56.26
2019,MI,CSK,MI won by 1 run,1,12,42.64,57.36
2019,MI,CSK,MI won by 1 run,1,13,38.33,61.67
2019,MI,CSK,MI won by 1 run,1,14,34.19,65.81
2019,MI,CSK,MI won by 1 run,1,15,36.23,63.77
2019,MI,CSK,MI won by 1 run,1,16,36.23,63.77
2019,MI,CSK,MI won by 1 run,1,17,39.69,60.31
2019,MI,CSK,MI won by 1 run,1,18,45.95,54.05
2019,MI,CSK,MI won by 1 run,1,19,38.33,61.67
2019,MI,CSK,MI won by 1 run,1,20,35.2,64.8
2019,MI,CSK,MI won by 1 run,2,1,33.35,66.65
2019,MI,CSK,MI won by 1 run,2,2,35.46,64.54
2019,MI,CSK,MI won by 1 run,2,3,35.03,64.97
2019,MI,CSK,MI won by 1 run,2,4,30.12,69.88
2019,MI,CSK,MI won by 1 run,2,5,31.64,68.36
2019,MI,CSK,MI won by 1 run,2,6,20.25,79.75
2019,MI,CSK,MI won by 1 run,2,7,23.65,76.35
2019,MI,CSK,MI won by 1 run,2,8,27.25,72.75
2019,MI,CSK,MI won by 1 run,2,9,22.39,77.61
2019,MI,CSK,MI won by 1 run,2,10,30.53,69.47
2019,MI,CSK,MI won by 1 run,2,11,46.73,53.27
2019,MI,CSK,MI won by 1 run,2,12,51.22,48.78
2019,MI,CSK,MI won by 1 run,2,13,64.77,35.23
2019,MI,CSK,MI won by 1 run,2,14,77.43,22.57
2019,MI,CSK,MI won by 1 run,2,15,87.88,12.12
2019,MI,CSK,MI won by 1 run,2,16,56.72,43.28
2019,MI,CSK,MI won by 1 run,2,17,75.76,24.24
2019,MI,CSK,MI won by 1 run,2,18,16.98,83.02
2019,MI,CSK,MI won by 1 run,2,19,9.35,90.65
2019,MI,CSK,MI won by 1 run,2,20,100,0
2020,DC,MI,MI won by 5 wickets (with 8 balls remaining),1,1,37.36,62.64
2020,DC,MI,MI won by 5 wickets (with 8 balls remaining),1,2,35.31,64.69
2020,DC,MI,MI won by 5 wickets (with 8 balls remaining),1,3,38.4,61.6
2020,DC,MI,MI won by 5 wickets (with 8 balls remaining),1,4,32.35,67.65
2020,DC,MI,MI won by 5 wickets (with 8 balls remaining),1,5,36.33,63.67
2020,DC,MI,MI won by 5 wickets (with 8 balls remaining),1,6,34.31,65.69
2020,DC,MI,MI won by 5 wickets (with 8 balls remaining),1,7,31.4,68.6
2020,DC,MI,MI won by 5 wickets (with 8 balls remaining),1,8,29.53,70.47
2020,DC,MI,MI won by 5 wickets (with 8 balls remaining),1,9,30.46,69.54
2020,DC,MI,MI won by 5 wickets (with 8 balls remaining),1,10,42.67,57.33
2020,DC,MI,MI won by 5 wickets (with 8 balls remaining),1,11,41.59,58.41
2020,DC,MI,MI won by 5 wickets (with 8 balls remaining),1,12,48.17,51.83
2020,DC,MI,MI won by 5 wickets (with 8 balls remaining),1,13,44.85,55.15
2020,DC,MI,MI won by 5 wickets (with 8 balls remaining),1,14,47.06,52.94
2020,DC,MI,MI won by 5 wickets (with 8 balls remaining),1,15,49.29,50.71
2020,DC,MI,MI won by 5 wickets (with 8 balls remaining),1,16,45.96,54.04
2020,DC,MI,MI won by 5 wickets (with 8 balls remaining),1,17,50.4,49.6
2020,DC,MI,MI won by 5 wickets (with 8 balls remaining),1,18,43.76,56.24
2020,DC,MI,MI won by 5 wickets (with 8 balls remaining),1,19,39.45,60.55
2020,DC,MI,MI won by 5 wickets (with 8 balls remaining),1,20,36.33,63.67
2020,DC,MI,MI won by 5 wickets (with 8 balls remaining),2,1,34,66
2020,DC,MI,MI won by 5 wickets (with 8 balls remaining),2,2,21.57,78.43
2020,DC,MI,MI won by 5 wickets (with 8 balls remaining),2,3,20.31,79.69
2020,DC,MI,MI won by 5 wickets (with 8 balls remaining),2,4,14.13,85.87
2020,DC,MI,MI won by 5 wickets (with 8 balls remaining),2,5,12.91,87.09
2020,DC,MI,MI won by 5 wickets (with 8 balls remaining),2,6,15.59,84.41
2020,DC,MI,MI won by 5 wickets (with 8 balls remaining),2,7,17.65,82.35
2020,DC,MI,MI won by 5 wickets (with 8 balls remaining),2,8,20.8,79.2
2020,DC,MI,MI won by 5 wickets (with 8 balls remaining),2,9,11.97,88.03
2020,DC,MI,MI won by 5 wickets (with 8 balls remaining),2,10,9.64,90.36
2020,DC,MI,MI won by 5 wickets (with 8 balls remaining),2,11,13.57,86.43
2020,DC,MI,MI won by 5 wickets (with 8 balls remaining),2,12,8.48,91.52
2020,DC,MI,MI won by 5 wickets (with 8 balls remaining),2,13,4.82,95.18
2020,DC,MI,MI won by 5 wickets (with 8 balls remaining),2,14,5.46,94.54
2020,DC,MI,MI won by 5 wickets (with 8 balls remaining),2,15,2.73,97.27
2020,DC,MI,MI won by 5 wickets (with 8 balls remaining),2,16,1,99
2020,DC,MI,MI won by 5 wickets (with 8 balls remaining),2,17,0.56,99.44
2020,DC,MI,MI won by 5 wickets (with 8 balls remaining),2,18,0.24,99.76
2020,DC,MI,MI won by 5 wickets (with 8 balls remaining),2,19,0,100
2021,CSK,KKR,CSK won by 27 runs,1,1,40.86,59.14
2021,CSK,KKR,CSK won by 27 runs,1,2,34.61,65.39
2021,CSK,KKR,CSK won by 27 runs,1,3,43.02,56.98
2021,CSK,KKR,CSK won by 27 runs,1,4,51.82,48.18
2021,CSK,KKR,CSK won by 27 runs,1,5,50.72,49.28
2021,CSK,KKR,CSK won by 27 runs,1,6,49.61,50.39
2021,CSK,KKR,CSK won by 27 runs,1,7,47.41,52.59
2021,CSK,KKR,CSK won by 27 runs,1,8,46.3,53.7
2021,CSK,KKR,CSK won by 27 runs,1,9,41.93,58.07
2021,CSK,KKR,CSK won by 27 runs,1,10,51.82,48.18
2021,CSK,KKR,CSK won by 27 runs,1,11,66.53,33.47
2021,CSK,KKR,CSK won by 27 runs,1,12,65.56,34.44
2021,CSK,KKR,CSK won by 27 runs,1,13,72.93,27.07
2021,CSK,KKR,CSK won by 27 runs,1,14,72.93,27.07
2021,CSK,KKR,CSK won by 27 runs,1,15,68.44,31.56
2021,CSK,KKR,CSK won by 27 runs,1,16,66.53,33.47
2021,CSK,KKR,CSK won by 27 runs,1,17,70.29,29.71
2021,CSK,KKR,CSK won by 27 runs,1,18,79.86,20.14
2021,CSK,KKR,CSK won by 27 runs,1,19,81.2,18.8
2021,CSK,KKR,CSK won by 27 runs,1,20,76.96,23.04
2021,CSK,KKR,CSK won by 27 runs,2,1,78.6,21.4
2021,CSK,KKR,CSK won by 27 runs,2,2,76.87,23.13
2021,CSK,KKR,CSK won by 27 runs,2,3,75.11,24.89
2021,CSK,KKR,CSK won by 27 runs,2,4,70.84,29.16
2021,CSK,KKR,CSK won by 27 runs,2,5,68.2,31.8
2021,CSK,KKR,CSK won by 27 runs,2,6,68.04,31.96
2021,CSK,KKR,CSK won by 27 runs,2,7,72.43,27.57
2021,CSK,KKR,CSK won by 27 runs,2,8,69.56,30.44
2021,CSK,KKR,CSK won by 27 runs,2,9,73.26,26.74
2021,CSK,KKR,CSK won by 27 runs,2,10,60.11,39.89
2021,CSK,KKR,CSK won by 27 runs,2,11,78.8,21.2
2021,CSK,KKR,CSK won by 27 runs,2,12,86.71,13.29
2021,CSK,KKR,CSK won by 27 runs,2,13,85.99,14.01
2021,CSK,KKR,CSK won by 27 runs,2,14,90.08,9.92
2021,CSK,KKR,CSK won by 27 runs,2,15,97.68,2.32
2021,CSK,KKR,CSK won by 27 runs,2,16,99.37,0.63
2021,CSK,KKR,CSK won by 27 runs,2,17,99.92,0.08
2021,CSK,KKR,CSK won by 27 runs,2,18,99.92,0.08
2021,CSK,KKR,CSK won by 27 runs,2,19,99.71,0.29
2021,CSK,KKR,CSK won by 27 runs,2,20,100,0
2022,RR,GT,GT won by 7 wickets,1,1,42.18,57.82
2022,RR,GT,GT won by 7 wickets,1,2,36.74,63.26
2022,RR,GT,GT won by 7 wickets,1,3,45.54,54.46
2022,RR,GT,GT won by 7 wickets,1,4,46.67,53.33
2022,RR,GT,GT won by 7 wickets,1,5,42.18,57.82
2022,RR,GT,GT won by 7 wickets,1,6,41.07,58.93
2022,RR,GT,GT won by 7 wickets,1,7,46.67,53.33
2022,RR,GT,GT won by 7 wickets,1,8,43.29,56.71
2022,RR,GT,GT won by 7 wickets,1,9,35.68,64.32
2022,RR,GT,GT won by 7 wickets,1,10,41.07,58.93
2022,RR,GT,GT won by 7 wickets,1,11,35.68,64.32
2022,RR,GT,GT won by 7 wickets,1,12,35.68,64.32
2022,RR,GT,GT won by 7 wickets,1,13,27.82,72.18
2022,RR,GT,GT won by 7 wickets,1,14,21.91,78.09
2022,RR,GT,GT won by 7 wickets,1,15,22.69,77.31
2022,RR,GT,GT won by 7 wickets,1,16,18.96,81.04
2022,RR,GT,GT won by 7 wickets,1,17,17.61,82.39
2022,RR,GT,GT won by 7 wickets,1,18,23.5,76.5
2022,RR,GT,GT won by 7 wickets,1,19,18.28,81.72
2022,RR,GT,GT won by 7 wickets,1,20,16.34,83.66
2022,RR,GT,GT won by 7 wickets,2,1,16.93,83.07
2022,RR,GT,GT won by 7 wickets,2,2,19.3,80.7
2022,RR,GT,GT won by 7 wickets,2,3,24.04,75.96
2022,RR,GT,GT won by 7 wickets,2,4,19.48,80.52
2022,RR,GT,GT won by 7 wickets,2,5,27.61,72.39
2022,RR,GT,GT won by 7 wickets,2,6,28.23,71.77
2022,RR,GT,GT won by 7 wickets,2,7,29.32,70.68
2022,RR,GT,GT won by 7 wickets,2,8,33.27,66.73
2022,RR,GT,GT won by 7 wickets,2,9,27.26,72.74
2022,RR,GT,GT won by 7 wickets,2,10,25.74,74.26
2022,RR,GT,GT won by 7 wickets,2,11,20.58,79.42
2022,RR,GT,GT won by 7 wickets,2,12,9.43,90.57
2022,RR,GT,GT won by 7 wickets,2,13,7.19,92.81
2022,RR,GT,GT won by 7 wickets,2,14,11.49,88.51
2022,RR,GT,GT won by 7 wickets,2,15,9.14,90.86
2022,RR,GT,GT won by 7 wickets,2,16,2.25,97.75
2022,RR,GT,GT won by 7 wickets,2,17,0.46,99.54
2022,RR,GT,GT won by 7 wickets,2,18,0.21,99.79
2022,RR,GT,GT won by 7 wickets,2,19,0,100
2023,GT,CSK,CSK won by 5 wickets (with 0 balls remaining),1,1,49.21,50.79
2023,GT,CSK,CSK won by 5 wickets (with 0 balls remaining),1,2,42.46,57.54
2023,GT,CSK,CSK won by 5 wickets (with 0 balls remaining),1,3,53.74,46.26
2023,GT,CSK,CSK won by 5 wickets (with 0 balls remaining),1,4,72.37,27.63
2023,GT,CSK,CSK won by 5 wickets (with 0 balls remaining),1,5,79.68,20.32
2023,GT,CSK,CSK won by 5 wickets (with 0 balls remaining),1,6,87.97,12.03
2023,GT,CSK,CSK won by 5 wickets (with 0 balls remaining),1,7,73.26,26.74
2023,GT,CSK,CSK won by 5 wickets (with 0 balls remaining),1,8,64.62,35.38
2023,GT,CSK,CSK won by 5 wickets (with 0 balls remaining),1,9,61.47,38.53
2023,GT,CSK,CSK won by 5 wickets (with 0 balls remaining),1,10,60.39,39.61
2023,GT,CSK,CSK won by 5 wickets (with 0 balls remaining),1,11,68.63,31.37
2023,GT,CSK,CSK won by 5 wickets (with 0 balls remaining),1,12,80.39,19.61
2023,GT,CSK,CSK won by 5 wickets (with 0 balls remaining),1,13,85.96,14.04
2023,GT,CSK,CSK won by 5 wickets (with 0 balls remaining),1,14,82.42,17.58
2023,GT,CSK,CSK won by 5 wickets (with 0 balls remaining),1,15,81.09,18.91
2023,GT,CSK,CSK won by 5 wickets (with 0 balls remaining),1,16,81.09,18.91
2023,GT,CSK,CSK won by 5 wickets (with 0 balls remaining),1,17,87,13
2023,GT,CSK,CSK won by 5 wickets (with 0 balls remaining),1,18,85.41,14.59
2023,GT,CSK,CSK won by 5 wickets (with 0 balls remaining),1,19,87.97,12.03
2023,GT,CSK,CSK won by 5 wickets (with 0 balls remaining),1,20,89.3,10.7
2023,GT,CSK,CSK won by 5 wickets (with 0 balls remaining),2,1,88.53,11.47
2023,GT,CSK,CSK won by 5 wickets (with 0 balls remaining),2,2,83.29,16.71
2023,GT,CSK,CSK won by 5 wickets (with 0 balls remaining),2,3,79.91,20.09
2023,GT,CSK,CSK won by 5 wickets (with 0 balls remaining),2,4,38.55,61.45
2023,GT,CSK,CSK won by 5 wickets (with 0 balls remaining),2,5,63.66,36.34
2023,GT,CSK,CSK won by 5 wickets (with 0 balls remaining),2,6,58.76,41.24
2023,GT,CSK,CSK won by 5 wickets (with 0 balls remaining),2,7,79.05,20.95
2023,GT,CSK,CSK won by 5 wickets (with 0 balls remaining),2,8,54.66,45.34
2023,GT,CSK,CSK won by 5 wickets (with 0 balls remaining),2,9,69.23,30.77
2023,GT,CSK,CSK won by 5 wickets (with 0 balls remaining),2,10,58.26,41.74
2023,GT,CSK,CSK won by 5 wickets (with 0 balls remaining),2,11,77.61,22.39
2023,GT,CSK,CSK won by 5 wickets (with 0 balls remaining),2,12,64.68,35.32
2023,GT,CSK,CSK won by 5 wickets (with 0 balls remaining),2,13,26.47,73.53
2023,GT,CSK,CSK won by 5 wickets (with 0 balls remaining),2,14,57.06,42.94
2023,GT,CSK,CSK won by 5 wickets (with 0 balls remaining),2,15,0,100
2024,SRH,KKR,KKR won by 8 wickets (with 57 balls remaining),1,1,47.62,52.38
2024,SRH,KKR,KKR won by 8 wickets (with 57 balls remaining),1,2,40.21,59.79
2024,SRH,KKR,KKR won by 8 wickets (with 57 balls remaining),1,3,35.21,64.79
2024,SRH,KKR,KKR won by 8 wickets (with 57 balls remaining),1,4,27.94,72.06
2024,SRH,KKR,KKR won by 8 wickets (with 57 balls remaining),1,5,46.55,53.45
2024,SRH,KKR,KKR won by 8 wickets (with 57 balls remaining),1,6,43.34,56.66
2024,SRH,KKR,KKR won by 8 wickets (with 57 balls remaining),1,7,42.29,57.71
2024,SRH,KKR,KKR won by 8 wickets (with 57 balls remaining),1,8,32.37,67.63
2024,SRH,KKR,KKR won by 8 wickets (with 57 balls remaining),1,9,22.44,77.56
2024,SRH,KKR,KKR won by 8 wickets (with 57 balls remaining),1,10,23.17,76.83
2024,SRH,KKR,KKR won by 8 wickets (with 57 balls remaining),1,11,18.39,81.61
2024,SRH,KKR,KKR won by 8 wickets (with 57 balls remaining),1,12,12.51,87.49
2024,SRH,KKR,KKR won by 8 wickets (with 57 balls remaining),1,13,17.78,82.22
2024,SRH,KKR,KKR won by 8 wickets (with 57 balls remaining),1,14,7.73,92.27
2024,SRH,KKR,KKR won by 8 wickets (with 57 balls remaining),1,15,11.22,88.78
2024,SRH,KKR,KKR won by 8 wickets (with 57 balls remaining),1,16,13.93,86.07
2024,SRH,KKR,KKR won by 8 wickets (with 57 balls remaining),1,17,12.07,87.93
2024,SRH,KKR,KKR won by 8 wickets (with 57 balls remaining),1,18,5.91,94.09
2024,SRH,KKR,KKR won by 8 wickets (with 57 balls remaining),2,1,5.47,94.53
2024,SRH,KKR,KKR won by 8 wickets (with 57 balls remaining),2,2,5.5,94.5
2024,SRH,KKR,KKR won by 8 wickets (with 57 balls remaining),2,3,2.33,97.67
2024,SRH,KKR,KKR won by 8 wickets (with 57 balls remaining),2,4,1.61,98.39
2024,SRH,KKR,KKR won by 8 wickets (with 57 balls remaining),2,5,1.1,98.9
2024,SRH,KKR,KKR won by 8 wickets (with 57 balls remaining),2,6,0.39,99.61
2024,SRH,KKR,KKR won by 8 wickets (with 57 balls remaining),2,7,0.16,99.84
2024,SRH,KKR,KKR won by 8 wickets (with 57 balls remaining),2,8,0.09,99.91
2024,SRH,KKR,KKR won by 8 wickets (with 57 balls remaining),2,9,0.06,99.94
2024,SRH,KKR,KKR won by 8 wickets (with 57 balls remaining),2,10,0.05,99.95
2024,SRH,KKR,KKR won by 8 wickets (with 57 balls remaining),2,11,0,100
2025,RCB,PBKS,RCB won by 6 runs,1,1,61.41,38.59
2025,RCB,PBKS,RCB won by 6 runs,1,2,52.86,47.14
2025,RCB,PBKS,RCB won by 6 runs,1,3,53.32,46.68
2025,RCB,PBKS,RCB won by 6 runs,1,4,55.65,44.35
2025,RCB,PBKS,RCB won by 6 runs,1,5,51.05,48.95
2025,RCB,PBKS,RCB won by 6 runs,1,6,50.46,49.54
2025,RCB,PBKS,RCB won by 6 runs,1,7,46.88,53.12
2025,RCB,PBKS,RCB won by 6 runs,1,8,44.43,55.57
2025,RCB,PBKS,RCB won by 6 runs,1,9,47.69,52.31
2025,RCB,PBKS,RCB won by 6 runs,1,10,46.12,53.88
2025,RCB,PBKS,RCB won by 6 runs,1,11,46.54,53.46
2025,RCB,PBKS,RCB won by 6 runs,1,12,43.17,56.83
2025,RCB,PBKS,RCB won by 6 runs,1,13,40.04,59.96
2025,RCB,PBKS,RCB won by 6 runs,1,14,46.8,53.2
2025,RCB,PBKS,RCB won by 6 runs,1,15,42.65,57.35
2025,RCB,PBKS,RCB won by 6 runs,1,16,46.72,53.28
2025,RCB,PBKS,RCB won by 6 runs,1,17,63.24,36.76
2025,RCB,PBKS,RCB won by 6 runs,1,18,50.54,49.46
2025,RCB,PBKS,RCB won by 6 runs,1,19,52.89,47.11
2025,RCB,PBKS,RCB won by 6 runs,1,20,43.4,56.6
2025,RCB,PBKS,RCB won by 6 runs,2,1,37.82,62.18
2025,RCB,PBKS,RCB won by 6 runs,2,2,35.31,64.69
2025,RCB,PBKS,RCB won by 6 runs,2,3,38.8,61.2
2025,RCB,PBKS,RCB won by 6 runs,2,4,45.94,54.06
2025,RCB,PBKS,RCB won by 6 runs,2,5,47.96,52.04
2025,RCB,PBKS,RCB won by 6 runs,2,6,44.62,55.38
2025,RCB,PBKS,RCB won by 6 runs,2,7,57.76,42.24
2025,RCB,PBKS,RCB won by 6 runs,2,8,40.01,59.99
2025,RCB,PBKS,RCB won by 6 runs,2,9,51.24,48.76
2025,RCB,PBKS,RCB won by 6 runs,2,10,65.98,34.02
2025,RCB,PBKS,RCB won by 6 runs,2,11,69.63,30.37
2025,RCB,PBKS,RCB won by 6 runs,2,12,67.81,32.19
2025,RCB,PBKS,RCB won by 6 runs,2,13,86.23,13.77
2025,RCB,PBKS,RCB won by 6 runs,2,14,89.09,10.91
2025,RCB,PBKS,RCB won by 6 runs,2,15,85.15,14.85
2025,RCB,PBKS,RCB won by 6 runs,2,16,72.67,27.33
2025,RCB,PBKS,RCB won by 6 runs,2,17,79.83,20.17
2025,RCB,PBKS,RCB won by 6 runs,2,18,95.4,4.6
2025,RCB,PBKS,RCB won by 6 runs,2,19,98.44,1.56
2025,RCB,PBKS,RCB won by 6 runs,2,20,100,0
